dff	machine_status	job_id	machine_id	created_at	updated_at	total_run_time	total_cutting_time	run_time	feed_rate	cutting_speed	spindle_speed	spindle_load	axis_load	axis_name	programe_number	programe_description	run_second
2	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:52:34 UTC	2017-08-01 04:52:34 UTC	48	735005	5	350	2401					144		
2	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:53:04 UTC	2017-08-01 04:53:04 UTC	48	735005	6	350	2400					144		
2	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:53:37 UTC	2017-08-01 04:53:37 UTC	49	735006	6	380	2776					144		
2	3		16	2017-08-01 04:54:06 UTC	2017-08-01 04:54:06 UTC	49	735006	7	0	0					144		
2	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:54:31 UTC	2017-08-01 04:54:31 UTC	50	735006	7	120	801					144		
2	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:54:57 UTC	2017-08-01 04:54:57 UTC	50	735006	7	120	801					144		
2	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:55:25 UTC	2017-08-01 04:55:25 UTC	51	735007	8	0	0					144		
2	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:55:56 UTC	2017-08-01 04:55:56 UTC	51	735007	8	300	2500					144		
2	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:56:26 UTC	2017-08-01 04:56:26 UTC	52	735007	9	300	2499					144		
2	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:56:55 UTC	2017-08-01 04:56:55 UTC	52	735008	9	80	801					144		
